Entity,FE_CODE,LongName,Frequency,Period,FE_Data_Group,Data_Type,Source,FE_Publication,FE_Publication_Date,Value
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2010,Historical forecasts,Consensus,FocusEconomics,01-06-2010,01-06-2010,2.937387
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-06-2010,01-06-2010,2.942688
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-06-2010,01-06-2010,2.883123
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-06-2010,01-06-2010,2.947444
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2010,Historical forecasts,Consensus,FocusEconomics,01-07-2010,06-07-2010,2.773796
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-07-2010,06-07-2010,2.836197
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-07-2010,06-07-2010,2.908244
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-07-2010,06-07-2010,3.028969
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2010,Historical forecasts,Consensus,FocusEconomics,01-08-2010,03-08-2010,2.557811
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-08-2010,03-08-2010,2.762874
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-08-2010,03-08-2010,2.781682
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-08-2010,03-08-2010,3.023911
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-02-2011,01-02-2011,3.324191
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-02-2011,01-02-2011,3.35001
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2011,Historical forecasts,Consensus,FocusEconomics,01-02-2011,01-02-2011,3.364083
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-02-2011,01-02-2011,3.346483
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2011,Historical forecasts,Consensus,FocusEconomics,01-07-2011,05-07-2011,3.308482
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-07-2011,05-07-2011,3.336365
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-07-2011,05-07-2011,2.763715
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-07-2011,05-07-2011,3.037717
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-07-2011,05-07-2011,3.190032
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-07-2011,05-07-2011,3.272314
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-02-2012,31-01-2012,1.859266
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-02-2012,31-01-2012,2.059431
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-02-2012,31-01-2012,2.369688
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-02-2012,31-01-2012,2.482014
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2013,Historical forecasts,Consensus,FocusEconomics,01-02-2012,31-01-2012,2.108595
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2013,Historical forecasts,Consensus,FocusEconomics,01-02-2012,31-01-2012,2.286808
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2013,Historical forecasts,Consensus,FocusEconomics,01-02-2012,31-01-2012,2.744182
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2013,Historical forecasts,Consensus,FocusEconomics,01-02-2012,31-01-2012,2.974235
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-06-2012,05-06-2012,2.200016
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-06-2012,05-06-2012,2.376218
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-06-2012,05-06-2012,2.521572
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2013,Historical forecasts,Consensus,FocusEconomics,01-06-2012,05-06-2012,1.863585
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2013,Historical forecasts,Consensus,FocusEconomics,01-06-2012,05-06-2012,2.347635
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2013,Historical forecasts,Consensus,FocusEconomics,01-06-2012,05-06-2012,2.656996
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2010,Historical forecasts,Consensus,FocusEconomics,01-05-2010,04-05-2010,3.211562
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2010,Historical forecasts,Consensus,FocusEconomics,01-05-2010,04-05-2010,2.809574
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-05-2010,04-05-2010,2.895589
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-05-2010,04-05-2010,2.857069
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-05-2010,04-05-2010,2.999957
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2010,Historical forecasts,Consensus,FocusEconomics,01-09-2010,07-09-2010,2.058181
